label,cleaned_text
0,Happy mothers day mummy Newtownabbey compBCwUS0AVxa igshid=0uraudyj0e0x
1,Happy Mothers day to my super Mum Ochie dike Nne m As long as I breathe
0,Happy Mothers Day to all the lovely Mums I know Also thinking of all who can not visit their Mums today because of keeping them safe from Covid00 not easy but needs must Remembering my own lovely Mum no longer with us but loved more than mere words can convey pictwittercom00vfafgyai
1,Happy mothers day to our mothers and intending mothers around the world from all of us at MegaNaco consults compBCWrfEpfxb igshid=gndeynd0iw0j
2,Happy Mothers day to all of our extravagant mothers compBDaEH0nl0S igshid=0e000h0000e0
1,Happy Mothers Day Whether you are spending time together or sharing warm wishes from afar make sure to celebrate that most marvelous mom in your life pictwittercomnYDlB0XTNo
1,HAPPY MOTHERS DAY Wishing all our DCFCWomen Footballing mums right through from the 0st Team and those guiding our Academy Girls a very Happy Mothers Day pictwittercomaUeV00oaPs
0,Happy Mothers Day to all the strong brave amazing mothers out there it is a bit of a different one this year but treat yourself to a bit of you time and stay safe pictwittercomHmNGYkwsmu
2,I would have loved to call my sons mom or text her to wish her a beautiful happy mothers day But her husband wants to fight Let me mind my business before someone sends me the usual crazy jealous husband afraid of Baby daddy SMS
2,Going through GordonRamsay tweets and he is wishing his mom a happy Mothers Day I panicked and text my mom WHY THE FUCK DOES THE UK CELEBRATE MOTHERS DAY ON A DIFFERENT DATE
1,For all those things Mothers represents For those becoming Mothers For every shade colour race category type of Mother HAPPY MOTHERS DAY pictwittercomAMjQ0iztAr
0,Mama you gave love to me and turned a young one like me into the Woman I am today do not think I will ever come to terms with saying goodbye to you Cos to me you still live Happy Mothers day to my mum in compBDTsrbJsia igshid=0zjycuucdsir
0,Happy Mothers Day to all the strong brave amazing mothers out there it is a bit of a different one this year but treat yourself to a bit of you time and stay safe pictwittercomHmNGYkwsmu
0,Happy mothers day to all our wonderful residents SunriseFrognal who all received a lovely bunch of daffodils today X pictwittercomGmkILRoqSH
2,We celebrate every mother today Happy Mothers Day Thank you for all you do pictwittercomF0udXF0O0Q
1,With the uncertainty of work we got some rescue plants this year let us hope with the help of Smudge and the kids we can revive them Happy Mothers day twittercomBloomandWilds tatus0000000000000000000 pictwittercomcfzGfEEQqK
1,Happy happy mothers day to my sweet muma So hope this horrible time will be over soon and you can come down for a lovely break Love you lots mxox compBC0iSAHZf igshid=0czu00hgp0xo0
2,Maggie wishing all the amazing women out there a happy special shout to all of the awesome ladies that are supporting our pictwittercomgbzhLVyGd0
0,Happy Mothers Day to all the special mums We hope you enjoy your day and find pleasure in the little things Stay safe twittercomnationaltrust status0000000000000000000
2,I hope all the amazing mums around the world have a special day today happy mothers day ifttt0dnDyvt pictwittercomMPzELfkIeG
0,A very Happy Mothers Day to all the wonderful women out there Without you we literally would not exist so we hope you have a wonderful time today and maybe treat yourself to a takeaway coffee or loaf down at Dough pictwittercomeO0Kqs0s0I
1,I would post Happy Mothers Day about my Mum we are pretty sound as we work together and are on levels BUT the last show she came to watch me she got drunk and bood me so she can go do one tbh
0,Got to facetime my mum whilst she was working today and she was so happy to see me and the children we wished her a happy mothers day and we got her flowers and card hidden in her storage cupboard to surprise her when she gets back home I am actually missing her so much
0,Happy mothers day to myself my two mums and all the beautiful mothers out there May God continually bless the fruits of your labour Lovely dress IG m00stitcheriez Makeup IG m00glamour Gele IG m00glamour pictwittercomHBRG0sCyXm
1,Hello and happy mothers day I made Aquamarine pendants last night and have decided that it is the go to crystal atm it is calming soothes anxiety and resonates with both the heart and throat Chakras pictwittercomrxFg00aF0F
2,Happy Mothering Sunday to my Mummy Although I am unable to see her today I hope she knows how much she is loved and how grateful I am for everything she does for me compBCRn0XlTTD igshid=0banw0nu00z00
1,Happy Mothers Day Striking the balance between career and family life Women from time immemorial have been able to juggle career demands and their responsibilities at home whether as mothers wives or daughters We are proud of these super heroes PLEASE STAY SAFE pictwittercomj0ru0Y0tln
0,Happy Mothers Day to my wonderful mum She is a best friend and I am so thankful for her support in everything I do she has raised my sister into a woman just as kind caring and amazing as she is I am very proud of her pictwittercomVvhyk0WLPI
2,Happy Mothers Day to all the mums grandmas aunties and other motherly figures Hope your day is special pictwittercomqfug00hv00
2,Happy Mothers Day from all of us to the special people in our lives who have raised us all to the people we are today pictwittercomVZpH0mmPOt
2,Happy Mothers Day to all the mums out there Especially those isolated from their families I could not give my mum her flowers but had a good chat and she is safe and well I hope yours is too compBC0qPopZh igshid=lg0v00du0etl
2,Mothers day Tip Text your crush Happy Mothers Day and when she replies I am not a Mother tell her you are just wishing her in advance for when she has your kids So if she blocks your ass you get the hint she are not interested
2,Happy mothers day to this beautiful hard working brilliant perfect support system my padi and fantastic wife and friend Thank you for all you do for me and the kidsGod bless you and I love you compBC00IwJcNr igshid=zpfxw0j0zmt0
2,Happy Mothers Day to all you special mums out there the ones that get to see their children and the ones like me that had to do a video call sending virtual hugs Stay safe and well everyone and enjoy compBCgaVvF0c0 igshid=0vlqa0yrfn0gf
2,Happy Mothers day from all of us at Lotta from Stockholm Hope everyone has a lovely day this photo is Lotta with her lovely daughter Emma pictwittercomMPiScTluPU
2,you are wrong She does not simply want to wish ladies a Happy Mothers Day she wants to get a dig in at trans people Unnecessary antagonism
0,Happy This year Mothering Sunday fittingly falls on the same day as our fabulous Serval mum Samias 00th birthday Celebrate Samias birthday and treat a special lady in your life by adopting our girl Visit our website to find out more http bitlyAdoptSamia pictwittercomVHwKTw0YLZ
2,Happy To all the mothers in the world Hope you are all having a good day today pictwittercomN0mtKcNzL0 at Mount Stuart Hospital
1,Happy Mothers Day Mum I am sure if you were here you would be our rock and voice of reason in this crazy world Miss you and love you zillions pictwittercomiz0jhGF0vU
2,Happy birthday and mothers day respectively to my son and my wife Even though we can not go out again as planned due to Covid00 yet do I still celebrate you guys Both of you are the bests Cheers pictwittercom0o0RywQmmI
0,its mothers day in england happy mothers day ArianaGrande you mean so much to me mama idk where id be without you truly you are the reason i never gave up n the reason I am going to keep going i love you so much
0,Happy mothers day to all mothers and mothers to be Lekki compBCm0T0Fz00 igshid=0susus00oihgb
1,Today is my Mums 00th birthday her 0st one in heaven yet we could not go visit her graveside either today or on Mothers day because of this virus instead we sang her Happy Birthday enjoyed a takeaway for tea in her memory a cuppa of course see you when I get there Mamma pictwittercomIsKrGdhUcJ
2,Omg it is so amazing so perfect so beautiful just like you Cookie are you going to get it because I think you should Cookie x and Happy Mothers Day mothers come in different things and because you have 0 dogs to them your their Mother so Happy Mothers Day Cookie x
2,Happy Mothers Day to all women birth biological mothers spiritual mothers aunts adoptive mothers carers and all who perceive themselves as a mother figure compBCRijqpvnH igshid=ga00hca0d000
0,HAPPY MOTHERS DAY to all Stepmothers Foster Mothers Aunties expectant Mothers and all other female carers of children young people it is the day for YOU to be looked after and appreciated pictwittercomltra00zNTa
0,Happy Mothers Day to this fabulous lady can not wait to celebrate in style when we are out the otherside pictwittercomG0zxxR0eFM
1,Happy Mothers Day to all the wonderful Mums out there We hope you have a fantastic day pictwittercomjWn0JJRGQz
0,Happy Mothers day To all those who are not able to spend it with their mothers may God bless you compBCUjHIDSqU igshid=0w00r0g0fu0l
0,Happy Mothers Day to all the beautiful mums out there Whether you are a brand new expecting waiting to become or goddess to a whole tribe kind of mum I wish you the most perfect day You deserve it pictwittercomdkjM0x0iDo
1,Happy Mothers Day to all the mums out there who help support and sponsor The Squirrels We hope you have all been spoilt rotten pictwittercomcDUEXZchMh
1,Happy mum We are self isolating together but we still have cake Your 0 other kids will give you the biggest of hugs when this all blows over X pictwittercomYXqds0lE0i
2,Happy Mothers Day to all mothers So caring loving gentle and protective deserving off all our love and appreciation every day pictwittercomIenkBrIEcA
1,Happy Mothers Day What a beautiful sunny day we are open from 0 today for all your beer and cider needs All Hail Ale compBCRihlJG0A igshid=yktys0aqrqy0
2,Happy Mothers Day from Ben to Leia <0 but remember to social distance pictwittercom0tp0FeNRjX
